Age Group,Gender,Education,Monthly Income,City,Employment Status,Shopping Frequency,Avg Spend per Visit,Preferred Payment,Product Categories,Offer Sensitivity,Local vs Intl Brands,Preferred Shopping Time,Loyalty Program Member,Loyalty Usage Frequency,Satisfaction Score (1-10),Would Recommend,Preferred Rewards,Suggested Improvement,Willing to Try New Service,Willingness to Pay (custom services),Switch for Better Tech,Shopping Challenges,Importance Scores,Loyalty Features Desired
26–35,Male,Bachelor's,30k–50k,City C,Employed,Bi-weekly,560.55,Mobile Wallet,Snacks,Not at all,Sometimes,Afternoon,No,Sometimes,1,Maybe,"Points, Priority Checkout",Faster billing,Yes,95.43,Depends,"Lack of variety, Poor customer service","3,4,2,3,4",More Points
60+,Female,Bachelor's,50k–100k,City D,Employed,Weekly,575.18,UPI,"Beverages, Household Supplies",Not at all,Sometimes,Morning,Yes,Always,2,Yes,"Points, Exclusive Discounts",Improved customer service,Maybe,123.55,Yes,"Lack of variety, Product unavailability","3,5,4,3,5",Cashback
36–45,Female,Doctorate,10k–30k,City D,Retired,Monthly,351.25,Mobile Wallet,"Beverages, Frozen Foods",Moderately,Sometimes,Afternoon,Yes,Sometimes,3,Maybe,"Exclusive Discounts, Priority Checkout",More offers,No,101.08,Yes,"Poor customer service, Price inconsistency, Long queues","3,5,5,5,4",Personalized Offers
26–35,Female,Bachelor's,30k–50k,City A,Employed,Bi-weekly,319.66,Credit Card,"Beverages, Frozen Foods",Not at all,Always,Afternoon,No,Sometimes,2,Yes,"Cashback, Exclusive Discounts",More offers,Yes,33.19,Depends,"Product unavailability, Poor customer service","4,5,3,5,5",Instant Discounts
18–25,Female,Bachelor's,30k–50k,City A,Retired,Weekly,410.49,Credit Card,"Fresh Produce, Household Supplies, Beverages",Moderately,Never,Afternoon,Yes,Sometimes,2,Yes,"Exclusive Discounts, Free Products",More offers,No,113.27,Yes,"Product unavailability, Lack of variety","3,4,3,2,5",Instant Discounts
18–25,Female,Master's,50k–100k,City B,Student,Rarely,420.62,Cash,Beverages,Strongly,Always,Night,Yes,Rarely,6,Yes,"Free Products, Cashback",More offers,Maybe,278.2,Depends,"Poor customer service, Price inconsistency, Lack of variety","5,3,3,2,5",Cashback
18–25,Female,Bachelor's,50k–100k,City B,Homemaker,Bi-weekly,590.41,Credit Card,Snacks,Moderately,Sometimes,Afternoon,Yes,Sometimes,7,Yes,"Priority Checkout, Cashback",More offers,Maybe,58.24,Yes,"Product unavailability, Poor customer service","5,5,4,1,4",Instant Discounts
46–60,Female,Master's,<10k,City B,Retired,Weekly,426.26,Others,"Beverages, Dairy, Fresh Produce",Slightly,Always,Night,No,Always,6,Yes,"Cashback, Points",More offers,Maybe,8.71,Yes,"Long queues, Poor customer service","3,4,2,5,3",Cashback
36–45,Male,High school,30k–50k,City C,Employed,Bi-weekly,397.24,UPI,"Household Supplies, Snacks, Dairy",Moderately,Sometimes,Morning,Yes,Sometimes,6,Maybe,"Free Products, Points",Faster billing,Yes,205.44,No,Product unavailability,"5,5,5,4,4",Personalized Offers
36–45,Female,Bachelor's,<10k,City A,Employed,Weekly,426.6,Credit Card,"Fresh Produce, Beverages, Frozen Foods",Moderately,Always,Afternoon,Yes,Always,9,No,"Priority Checkout, Points",Improved customer service,Yes,146.92,Yes,Long queues,"4,3,2,1,5",Personalized Offers
18–25,Male,High school,30k–50k,City A,Employed,Monthly,634.24,Mobile Wallet,"Fresh Produce, Snacks, Frozen Foods",Strongly,Always,Morning,No,Always,8,Maybe,"Priority Checkout, Cashback",Improved customer service,Yes,137.88,Yes,"Lack of variety, Long queues, Price inconsistency","4,3,5,4,4",Cashback
60+,Prefer not to say,High school,10k–30k,City B,Homemaker,Monthly,501.57,UPI,"Household Supplies, Fresh Produce",Slightly,Always,Afternoon,No,Rarely,8,Maybe,"Points, Priority Checkout",Faster billing,Maybe,98.49,Yes,"Lack of variety, Long queues, Product unavailability","4,5,4,5,3",Cashback
46–60,Female,Doctorate,10k–30k,City C,Employed,Rarely,478.49,Credit Card,"Beverages, Frozen Foods, Snacks",Moderately,Sometimes,Morning,Yes,Sometimes,6,No,"Priority Checkout, Exclusive Discounts",More offers,Yes,133.58,Depends,"Long queues, Lack of variety, Price inconsistency","3,3,2,3,5",Personalized Offers
18–25,Male,High school,10k–30k,City A,Self-employed,Bi-weekly,486.8,Cash,"Household Supplies, Frozen Foods, Fresh Produce",Strongly,Sometimes,Afternoon,No,Never,5,No,"Free Products, Points",More offers,Maybe,123.11,Depends,"Product unavailability, Price inconsistency","4,5,5,3,3",Cashback
18–25,Female,Bachelor's,30k–50k,City C,Employed,Bi-weekly,655.05,Cash,Beverages,Moderately,Always,Afternoon,Yes,Always,9,Yes,"Points, Cashback",Better variety,No,198.65,Yes,"Product unavailability, Lack of variety","5,5,4,2,4",Instant Discounts
18–25,Female,Bachelor's,10k–30k,City B,Employed,Monthly,410.1,Mobile Wallet,"Snacks, Frozen Foods",Moderately,Never,Morning,No,Rarely,2,Yes,"Free Products, Cashback",Better variety,Maybe,175.02,Yes,Long queues,"3,5,3,4,3",Instant Discounts
26–35,Male,Bachelor's,30k–50k,City D,Student,Weekly,657.86,Others,Fresh Produce,Slightly,Sometimes,Evening,Yes,Rarely,7,Yes,"Free Products, Priority Checkout",Improved customer service,Yes,156.13,Yes,"Poor customer service, Lack of variety, Product unavailability","5,3,2,3,4",Cashback
26–35,Female,Doctorate,30k–50k,City D,Employed,Bi-weekly,525.26,UPI,Household Supplies,Strongly,Sometimes,Night,Yes,Sometimes,6,Yes,"Exclusive Discounts, Cashback",More offers,No,79.04,Yes,"Product unavailability, Long queues","5,5,4,2,5",Instant Discounts
26–35,Female,High school,<10k,City B,Self-employed,Bi-weekly,480.75,Cash,"Beverages, Fresh Produce, Frozen Foods",Moderately,Sometimes,Morning,No,Sometimes,7,No,"Free Products, Cashback",Improved customer service,Maybe,133.74,Depends,Product unavailability,"4,3,3,4,3",Instant Discounts
26–35,Male,Master's,50k–100k,City A,Retired,Weekly,800.11,Credit Card,Dairy,Strongly,Sometimes,Evening,Yes,Sometimes,4,Yes,"Priority Checkout, Cashback",Better variety,Maybe,83.08,No,"Product unavailability, Price inconsistency, Long queues","3,5,3,1,3",Instant Discounts
36–45,Female,Other,10k–30k,City B,Self-employed,Weekly,373.32,UPI,"Frozen Foods, Household Supplies",Strongly,Sometimes,Evening,Yes,Rarely,9,Maybe,"Points, Exclusive Discounts",Improved customer service,Yes,193.71,Yes,"Product unavailability, Long queues","4,4,2,5,4",More Points
18–25,Male,Bachelor's,30k–50k,City A,Employed,Monthly,457.56,UPI,Dairy,Moderately,Sometimes,Afternoon,No,Sometimes,7,Maybe,"Free Products, Cashback",Better variety,Yes,77.1,Yes,"Long queues, Lack of variety","4,3,4,1,3",Personalized Offers
26–35,Female,Doctorate,30k–50k,City C,Unemployed,Monthly,352.11,Mobile Wallet,"Dairy, Beverages, Household Supplies",Moderately,Sometimes,Night,Yes,Always,2,Yes,"Free Products, Points",Faster billing,Maybe,111.93,Depends,"Lack of variety, Poor customer service, Long queues","5,4,2,4,5",Cashback
26–35,Non-binary,High school,10k–30k,City D,Homemaker,Weekly,614.3,Mobile Wallet,"Dairy, Household Supplies, Beverages",Not at all,Sometimes,Night,No,Sometimes,4,Yes,"Free Products, Priority Checkout",Better variety,Yes,54.79,Yes,Price inconsistency,"4,5,2,3,3",More Points
26–35,Female,Bachelor's,<10k,City C,Unemployed,Weekly,702.7,Cash,"Frozen Foods, Fresh Produce, Dairy",Slightly,Sometimes,Afternoon,Yes,Sometimes,5,Yes,"Priority Checkout, Free Products",Improved customer service,Maybe,90.11,Depends,Price inconsistency,"3,5,4,1,5",More Points
36–45,Male,Bachelor's,10k–30k,City D,Employed,Weekly,700.39,UPI,"Snacks, Fresh Produce, Household Supplies",Strongly,Always,Evening,Yes,Never,2,Yes,"Cashback, Points",Faster billing,No,89.43,Yes,"Long queues, Poor customer service, Price inconsistency","4,4,5,4,5",Personalized Offers
18–25,Female,Master's,50k–100k,City B,Employed,Monthly,646.87,UPI,"Household Supplies, Frozen Foods, Fresh Produce",Moderately,Sometimes,Evening,No,Rarely,10,Yes,"Points, Free Products",More offers,Maybe,110.84,No,Price inconsistency,"5,4,2,1,4",Cashback
26–35,Female,Other,30k–50k,City A,Student,Weekly,476.29,Credit Card,"Fresh Produce, Dairy, Beverages",Moderately,Always,Afternoon,Yes,Always,8,Yes,"Points, Priority Checkout",Faster billing,Yes,66.02,No,Product unavailability,"3,5,4,2,4",Personalized Offers
26–35,Male,Bachelor's,30k–50k,City C,Homemaker,Monthly,456.17,UPI,Snacks,Strongly,Sometimes,Afternoon,Yes,Sometimes,1,Yes,"Free Products, Points",More offers,Maybe,192.94,No,"Price inconsistency, Product unavailability","4,3,2,5,5",Instant Discounts
18–25,Female,Master's,30k–50k,City B,Student,Weekly,299.46,Credit Card,"Frozen Foods, Fresh Produce, Beverages",Slightly,Always,Night,Yes,Always,3,Yes,"Points, Priority Checkout",Faster billing,Yes,108.78,No,"Product unavailability, Price inconsistency, Lack of variety","5,4,3,5,3",Personalized Offers
36–45,Male,High school,10k–30k,City C,Employed,Bi-weekly,744.3,Cash,Household Supplies,Moderately,Never,Night,No,Rarely,1,Yes,"Cashback, Priority Checkout",Improved customer service,Yes,87.98,Yes,"Price inconsistency, Long queues, Product unavailability","3,4,2,3,5",Instant Discounts
18–25,Female,Bachelor's,30k–50k,City B,Employed,Weekly,556.28,Credit Card,"Household Supplies, Frozen Foods, Snacks",Moderately,Sometimes,Morning,Yes,Never,5,Yes,"Priority Checkout, Free Products",Better variety,Yes,166.18,Yes,Lack of variety,"4,3,3,2,4",Instant Discounts
18–25,Male,Bachelor's,50k–100k,City A,Self-employed,Monthly,440.97,Credit Card,"Snacks, Beverages",Moderately,Sometimes,Morning,Yes,Always,8,No,"Exclusive Discounts, Priority Checkout",Better variety,Maybe,249.74,Depends,Lack of variety,"5,5,5,2,5",Personalized Offers
46–60,Male,Other,10k–30k,City D,Self-employed,Weekly,659.37,Credit Card,"Beverages, Household Supplies",Strongly,Sometimes,Night,Yes,Sometimes,7,Yes,"Exclusive Discounts, Priority Checkout",Better variety,Maybe,95.75,Yes,"Price inconsistency, Long queues","5,3,4,3,4",Instant Discounts
60+,Male,Master's,10k–30k,City A,Employed,Bi-weekly,383.27,Credit Card,Fresh Produce,Moderately,Sometimes,Morning,Yes,Never,9,No,"Exclusive Discounts, Free Products",Improved customer service,Yes,105.29,Depends,"Lack of variety, Price inconsistency, Long queues","5,5,4,4,4",Personalized Offers
46–60,Female,Bachelor's,10k–30k,City D,Employed,Weekly,548.79,Mobile Wallet,Dairy,Moderately,Sometimes,Evening,Yes,Always,2,Maybe,"Priority Checkout, Cashback",Improved customer service,Yes,75.7,No,"Lack of variety, Price inconsistency, Product unavailability","5,4,3,4,3",Cashback
26–35,Male,High school,30k–50k,City D,Self-employed,Monthly,479.28,Mobile Wallet,"Dairy, Snacks",Moderately,Sometimes,Morning,No,Sometimes,8,Maybe,"Points, Cashback",Better variety,Maybe,159.72,Yes,"Product unavailability, Lack of variety","5,3,4,3,3",More Points
18–25,Female,High school,>100k,City D,Unemployed,Monthly,576.64,Credit Card,"Fresh Produce, Beverages, Household Supplies",Slightly,Always,Morning,No,Sometimes,8,Yes,"Cashback, Exclusive Discounts",Faster billing,Maybe,177.32,Depends,Poor customer service,"3,5,5,1,3",Personalized Offers
36–45,Male,Bachelor's,<10k,City C,Homemaker,Weekly,492.37,Cash,"Dairy, Beverages, Snacks",Moderately,Never,Morning,Yes,Always,6,Yes,"Exclusive Discounts, Points",Faster billing,No,117.22,Depends,"Price inconsistency, Product unavailability","4,5,3,3,4",Personalized Offers
26–35,Male,Bachelor's,30k–50k,City C,Unemployed,Monthly,325.89,Mobile Wallet,"Household Supplies, Dairy",Moderately,Sometimes,Afternoon,Yes,Always,3,Yes,"Cashback, Exclusive Discounts",Faster billing,Maybe,93.7,Yes,"Poor customer service, Price inconsistency","5,4,4,2,3",Personalized Offers
18–25,Female,Doctorate,10k–30k,City D,Homemaker,Bi-weekly,509.07,Credit Card,Frozen Foods,Strongly,Never,Morning,No,Never,2,Yes,"Exclusive Discounts, Priority Checkout",Faster billing,Maybe,152.04,Yes,Price inconsistency,"5,3,3,3,4",Instant Discounts
26–35,Female,Bachelor's,>100k,City B,Self-employed,Weekly,625.86,Credit Card,Dairy,Strongly,Always,Evening,Yes,Sometimes,8,No,"Free Products, Priority Checkout",Faster billing,Yes,164.38,Depends,Long queues,"4,3,4,2,3",Personalized Offers
18–25,Male,Bachelor's,10k–30k,City B,Employed,Weekly,496.49,UPI,"Dairy, Fresh Produce",Moderately,Sometimes,Evening,Yes,Sometimes,6,Yes,"Cashback, Points",Better variety,Yes,213.24,Depends,Poor customer service,"3,3,2,3,3",Cashback
46–60,Female,High school,30k–50k,City C,Self-employed,Weekly,593.01,UPI,"Frozen Foods, Snacks, Beverages",Moderately,Always,Afternoon,No,Sometimes,4,No,"Priority Checkout, Free Products",Better variety,No,85.05,Depends,"Poor customer service, Lack of variety","4,3,3,1,4",Cashback
26–35,Female,Doctorate,30k–50k,City B,Self-employed,Monthly,374.54,UPI,Fresh Produce,Not at all,Sometimes,Evening,No,Rarely,5,Maybe,"Exclusive Discounts, Priority Checkout",More offers,Maybe,171.14,No,"Long queues, Price inconsistency","4,4,2,3,4",Cashback
36–45,Female,Master's,30k–50k,City B,Self-employed,Monthly,496.85,Mobile Wallet,Frozen Foods,Slightly,Sometimes,Afternoon,Yes,Sometimes,5,Yes,"Cashback, Priority Checkout",Improved customer service,Yes,126.35,Yes,Price inconsistency,"3,4,2,2,3",Personalized Offers
26–35,Male,High school,30k–50k,City B,Employed,Weekly,425.06,Cash,"Snacks, Fresh Produce",Moderately,Never,Afternoon,Yes,Sometimes,9,Maybe,"Points, Free Products",Faster billing,Maybe,15.94,Depends,"Long queues, Product unavailability","4,3,4,5,5",More Points
26–35,Male,Master's,10k–30k,City C,Employed,Bi-weekly,589.64,UPI,"Beverages, Fresh Produce, Dairy",Moderately,Never,Afternoon,Yes,Always,9,Yes,"Cashback, Free Products",Better variety,Yes,211.33,Yes,Price inconsistency,"4,5,3,3,5",Personalized Offers
26–35,Female,Bachelor's,10k–30k,City D,Employed,Monthly,503.78,Credit Card,Frozen Foods,Slightly,Sometimes,Afternoon,Yes,Rarely,8,Yes,"Exclusive Discounts, Priority Checkout",Better variety,Maybe,137.85,Yes,"Poor customer service, Long queues, Price inconsistency","4,5,3,3,4",Cashback
18–25,Male,High school,10k–30k,City A,Employed,Rarely,582.81,Credit Card,"Snacks, Household Supplies",Moderately,Sometimes,Night,No,Always,8,Yes,"Exclusive Discounts, Points",Better variety,Maybe,156.41,Yes,"Lack of variety, Price inconsistency, Long queues","3,5,5,3,3",More Points
60+,Female,Bachelor's,10k–30k,City D,Employed,Bi-weekly,630.53,Cash,Beverages,Strongly,Sometimes,Evening,Yes,Always,2,No,"Exclusive Discounts, Cashback",Faster billing,Yes,176.78,Yes,"Poor customer service, Price inconsistency","3,5,4,5,5",Instant Discounts
36–45,Female,Bachelor's,30k–50k,City C,Retired,Rarely,582.99,UPI,"Frozen Foods, Snacks, Dairy",Slightly,Sometimes,Afternoon,No,Sometimes,3,Yes,"Points, Exclusive Discounts",Improved customer service,Yes,155.76,Yes,Product unavailability,"3,3,3,5,4",Instant Discounts
46–60,Female,High school,10k–30k,City D,Employed,Bi-weekly,532.77,Cash,"Household Supplies, Fresh Produce, Snacks",Strongly,Sometimes,Evening,Yes,Always,8,Maybe,"Priority Checkout, Cashback",More offers,Yes,61.98,Yes,"Product unavailability, Price inconsistency","3,3,3,4,4",Cashback
